Domain,Frequency,사용여부
www_kwangju_co_kr,3,0
www_news2day_co_kr,3,0
www_djtimes_co_kr,3,0
www_impacton_net,3,0
www_dkilbo_com,3,0
news_bizwatch_co_kr,3,0
www_ftoday_co_kr,3,0
www_newsgn_com,3,0
www_jejuilbo_net,3,0
www_lawleader_co_kr,3,0
isplus_com,3,0
www_apnews_kr,3,0
slownews_kr,3,0
www_energydaily_co_kr,3,0
www_kdpress_co_kr,3,0
www_efnews_co_kr,3,0
www_meconomynews_com,3,0
ch1_skbroadband_com,3,0
www_jmbc_co_kr,3,0
www_doctorstimes_com,3,0
www_onews_tv,3,0
www_ujeil_com,3,0
www_idaegu_co_kr,3,0
www_kbmaeil_com,3,0
www_ziksir_com,3,0
www_ablenews_co_kr,3,0
www_lkp_news,3,0
dgmbc_com,3,0
worknworld_kctu_org,3,0
www_rapportian_com,3,0
www_k-health_com,3,0
jhealthmedia_joins_com,2,0
www_civicnews_com,2,0
www_banronbodo_com,2,0
gg_newdaily_co_kr,2,0
www_junggi_co_kr,2,0
www_newskr_kr,2,0
www_koreahealthlog_com,2,0
www_fetv_co_kr,2,0
www_ezyeconomy_com,2,0
www_thebell_co_kr,2,0
www_newsfc_co_kr,2,0
www_worktoday_co_kr,2,0
www_wolyo_co_kr,2,0
www_kbiznews_co_kr,2,0
www_ibabynews_com,2,0
www_idjnews_kr,2,0
www_newsquest_co_kr,2,0
www_babytimes_co_kr,2,0
www_ceoscoredaily_com,2,0
www_pharmnews_com,2,0
www_e2news_com,2,0
www_kbanker_co_kr,2,0
news_koreadaily_com,2,0
www_jejumaeil_net,2,0
www_discoverynews_kr,2,0
www_wikileaks-kr_org,2,0
www_sisapress_com,2,0
www_intn_co_kr,2,0
digitalchosun_dizzo_com,2,0
www_queen_co_kr,2,0
www_thereport_co_kr,2,0
news_hankyung_com,2,1
tbs_seoul_kr,2,1
www_bloter_net,2,0
cwn_kr,2,0
www_datasom_co_kr,2,0
www_segyefn_com,2,0
www_mhj21_com,2,0
thepublic_kr,2,0
www_pckworld_com,2,0
www_cctvnews_co_kr,2,0
www_cctimes_kr,2,0
www_incheonnews_com,2,0
www_artinsight_co_kr,2,0
www_konas_net,2,0
www_catholicpress_kr,2,0
www_bizhankook_com,2,0
www_medipana_com,2,0
www_newsclaim_co_kr,2,0
www_smedaily_co_kr,2,0
www_dailypop_kr,2,0
www_irobotnews_com,2,0
www_ikunkang_com,2,0
busanmbc_co_kr,2,0
www_autodaily_co_kr,2,0
journal_kobeta_com,2,0
www_goodkyung_com,2,0
mydaily_co_kr,2,0
www_todaykorea_co_kr,2,0
www_tvreport_co_kr,2,0
www_doctorsnews_co_kr,2,0
www_sportsq_co_kr,2,0
www_econotelling_com,2,0
www_tvdaily_co_kr,2,0
www_pdjournal_com,2,0
www_insnews_co_kr,2,0
www_spotvnews_co_kr,2,0
www_koit_co_kr,2,0
mdtoday_co_kr,2,0
goodnews1_com,2,0
sports_donga_com,2,0
www_sportsworldi_com,2,0
www_sporbiz_co_kr,2,0
kr_aving_net,2,0
www_gobalnews_com,2,0
www_ifm_kr,2,0
www_newscham_net,2,0
www_koreadaily_com,2,0
www_viewsnnews_com,2,0
www_newstree_kr,2,0
www_docdocdoc_co_kr,2,0
www_asiaa_co_kr,2,0
www_worldkorean_net,2,0
www_fintechpost_co_kr,2,0
www_techm_kr,2,0
www_cfnews_kr,2,0
www_ekoreanews_co_kr,2,0
www_ildaro_com,2,0
www_goal_com,2,0
www_mediajeju_com,2,0
www_issuenbiz_com,2,0
www_jeonmin_co_kr,1,0
www_newsbrite_net,1,0
news_inochong_org,1,0
www_startuptoday_co_kr,1,0
www_jemin_com,1,0
www_paxnetnews_com,1,0
www_kpinews_co_kr,1,0
www_newspost_kr,1,0
www_newsjeju_net,1,0
dealsite_co_kr,1,0
www_slist_kr,1,0
tk_newdaily_co_kr,1,0
www_betanews_net:8080,1,0
www_press9_kr,1,0
www_joygm_com,1,0
www_newsmaker_or_kr,1,0
www_gpkorea_com,1,0
cc_newdaily_co_kr,1,0
www_mpmbc_co_kr,1,0
www_idsn_co_kr,1,0
www_digitalbizon_com,1,0
www_dongponews_net,1,0
www_vegannews_co_kr,1,0
www_newscape_co_kr,1,0
www_healthinnews_co_kr,1,0
www_sctoday_co_kr,1,0
www_dailysecu_com,1,0
www_seoulwire_com,1,0
www_hellot_net,1,0
jmagazine_joins_com,1,0
dhnews_co_kr,1,0
www_traveltimes_co_kr,1,0
www_updownnews_co_kr,1,0
edu_chosun_com,1,0
www_taxwatch_co_kr,1,0
www_chemicalnews_co_kr,1,0
byline_network,1,0
www_venturesquare_net,1,0
www_lcnews_co_kr,1,0
www_bizwatch_co_kr,1,0
www_usmbc_co_kr,1,0
www_itnews_or_kr,1,0
fpn119_co_kr,1,0
www_inven_co_kr,1,0
www_energy-news_co_kr,1,0
www_mstoday_co_kr,1,0
lady_khan_co_kr,1,0
www_housingherald_co_kr,1,0
tvdaily_co_kr,1,0
www_newsverse_kr,1,0
woman_donga_com,1,0
www_biztribune_co_kr,1,0
jtbcgolf_joins_com,1,0
www_koreaittimes_com,1,0
kids_donga_com,1,0
www_sisacast_kr,1,0
www_dgmbc_com,1,0
www_niceeconomy_co_kr,1,0
theviewers_co_kr,1,0
www_esgeconomy_com,1,0
www_gosiweek_com,1,0
www_epnc_co_kr,1,0
www_mediawatch_kr,1,0
bravo_etoday_co_kr,1,0
www_newsian_co_kr,1,0
www_tokenpost_kr,1,0
www_newscammp_co_kr,1,0
www_lec_co_kr,1,0
www_ize_co_kr,1,0
ccn_hcn_co_kr,1,0
www_the-pr_co_kr,1,0
news_kotra_or_kr,1,0
www_dandinews_com,1,0
www_newswatch_kr,1,0
www_thefirstmedia_net,1,0
www_interview365_com,1,0
www_interfootball_co_kr,1,0
www_ggmedinews_com,1,0
www_travie_com,1,0
www_fashionn_com,1,0
www_thedrive_co_kr,1,0
www_tbc_co_kr,1,0
www_newsculture_press,1,0
sports_mk_co_kr,1,0
www_nbntv_kr,1,0
www_hg-times_com,1,0
sateconomy_co_kr,1,0
jtv_co_kr,1,0
www_dailyvet_co_kr,1,0
www_greenpostkorea_co_kr,1,0
gj_newdaily_co_kr,1,0
www_ulsanpress_net,1,0
platum_kr,1,0
www_tleaves_co_kr,1,0
www_medisobizanews_com,1,0
www_suwonilbo_kr,1,0
www_insightkorea_co_kr,1,0
stoo_com,1,0
www_movist_com,1,0
www_travelitoday_com,1,0
www_mediafine_co_kr,1,0
www_chungnamilbo_com,1,0
view_heraldcorp_com,1,0
www_asiae_co_kr,1,1
www_joynews24_com,1,0
www_factin_co_kr,1,0
news_wowtv_co_kr,1,0
news_jtbc_joins_com,1,1
www_edupress_kr,1,0
www_sisajournal-e_com,1,0
www_m-economynews_com,1,0
www_ktsketch_co_kr,1,0
www_hellodd_com,1,0
www_ccreview_co_kr,1,0
www_kfenews_co_kr,1,0
www_newswell_co_kr,1,0
www_hapt_co_kr,1,0
kizmom_hankyung_com,1,0
www_nbnews_kr,1,0
www_munhaknews_com,1,0
www_knpnews_com,1,0
www_it-b_co_kr,1,0
weekly_cnbnews_com,1,0
www_withinnews_co_kr,1,0
www_safetynews_co_kr,1,0
www_opinionnews_co_kr,1,0
www_job-post_co_kr,1,0
www_tournews21_com,1,0
www_chiefexe_com,1,0
www_smartfn_co_kr,1,0
www_cmbkj_co_kr,1,0
www_s-journal_co_kr,1,0
cnbc_sbs_co_kr,1,0
www_eroun_net,1,0
enter_etoday_co_kr,1,0
www_electimes_com,1,0
jejumbc_com,1,0
www_agrinet_co_kr,1,0
www_foodnews_co_kr,1,0
www_monews_co_kr,1,0
www_medigatenews_com,1,0
news_ifm_kr,1,0
www_kmedinfo_co_kr,1,0
weeklytrade_co_kr,1,0
www_fsnews_co_kr,1,0
www_naon_go_kr,1,0
www_rwn_co_kr,1,0
enews_imbc_com,1,0
www_pointdaily_co_kr,1,0
www_constimes_co_kr,1,0
www_ytnradio_kr,1,0
